date,group,from_date,index_ffill,index_valid,log_return,ret_lvl,ret_w,n_matched,n_used,n_trim,n_adj,n_adj_used,n_adj_trim,step_n,interval_days,bridge,valid_step,ret_ok
2024-04-14,low,2024-04-07,101.75773265722393,101.75773265722393,-0.003990683532946061,-0.003990683532946061,-0.003990683532946061,88,88,0,88,88,0,1,7.0,False,True,True
2024-04-21,low,2024-04-14,102.37060518717962,102.37060518717962,0.006004794610917638,0.006004794610917638,0.006004794610917638,89,89,0,89,89,0,1,7.0,False,True,True
2024-04-28,low,2024-04-21,103.01311395115052,103.01311395115052,0.006256687362008204,0.006256687362008204,0.006256687362008204,87,87,0,87,87,0,1,7.0,False,True,True
2024-05-05,low,2024-04-28,103.75850307658203,103.75850307658203,0.007209813077906383,0.007209813077906383,0.007209813077906383,85,85,0,85,85,0,1,7.0,False,True,True
2024-05-12,low,2024-05-05,104.22429076838407,104.22429076838407,0.004479105813757552,0.004479105813757552,0.004479105813757552,86,86,0,86,86,0,1,7.0,False,True,True
2024-05-19,low,2024-05-12,104.41247172506009,104.41247172506009,0.0018039103507636782,0.0018039103507636782,0.0018039103507636782,85,85,0,85,85,0,1,7.0,False,True,True
2024-05-26,low,2024-05-19,104.32602905307462,104.32602905307462,-0.0008282389363218561,-0.0008282389363218561,-0.0008282389363218561,85,85,0,85,85,0,1,7.0,False,True,True
2024-06-02,low,2024-05-26,104.35861556483842,104.35861556483842,0.0003123038792653599,0.0003123038792653599,0.0003123038792653599,85,85,0,85,85,0,1,7.0,False,True,True
2024-06-09,low,2024-06-02,104.68303821957755,104.68303821957755,0.0031039068944357976,0.0031039068944357976,0.0031039068944357976,80,79,1,80,79,1,1,7.0,False,True,True
2024-06-16,low,2024-06-09,105.00635189892506,105.00635189892506,0.003083741484262248,0.003083741484262248,0.003083741484262248,80,80,0,80,80,0,1,7.0,False,True,True
2024-06-23,low,2024-06-16,105.30856953140167,105.30856953140167,0.00287395528988732,0.00287395528988732,0.00287395528988732,82,82,0,82,82,0,1,7.0,False,True,True
2024-06-30,low,2024-06-23,106.19025348251242,106.19025348251242,0.008337531585476654,0.008337531585476654,0.008337531585476654,85,85,0,85,85,0,1,7.0,False,True,True
2024-07-07,low,2024-06-30,105.3084434158236,105.3084434158236,-0.008338729167536193,-0.008338729167536193,-0.008338729167536193,85,85,0,85,85,0,1,7.0,False,True,True
2024-07-14,low,2024-07-07,105.80294997523161,105.80294997523161,0.004684801287990239,0.004684801287990239,0.004684801287990239,82,82,0,82,82,0,1,7.0,False,True,True
2024-07-21,low,2024-07-14,107.21981347319311,107.21981347319311,0.013302657134459175,0.013302657134459175,0.013302657134459175,84,84,0,84,84,0,1,7.0,False,True,True
2024-07-28,low,2024-07-21,108.37379021936923,108.37379021936923,0.010705213392433074,0.010705213392433074,0.010705213392433074,84,84,0,84,84,0,1,7.0,False,True,True
2024-08-04,low,2024-07-28,109.47163576501096,109.47163576501096,0.010079209465931372,0.010079209465931372,0.010079209465931372,81,80,1,81,80,1,1,7.0,False,True,True
