date,group,fixed_basket_index,basket_n
2026-03-22,high,142.98632109940974,34
2026-03-29,high,142.98632109940974,34
2026-04-05,high,,34
2024-03-03,low,100.0,8
2024-03-10,low,100.0,8
2024-03-17,low,100.0,8
2024-03-24,low,100.0,8
2024-03-31,low,100.21663778162912,8
2024-04-07,low,105.13316045487241,8
2024-04-14,low,105.52679141203362,8
2024-04-21,low,107.40571078149553,8
2024-04-28,low,107.40571078149553,8
2024-05-05,low,107.7238072292902,8
2024-05-12,low,107.64083506686734,8
2024-05-19,low,107.64554827335097,8
2024-05-26,low,107.64803955386915,8
2024-06-02,low,106.58413941578263,8
2024-06-09,low,106.40896998912112,8
2024-06-16,low,106.39540587183612,8
2024-06-23,low,106.61820974941259,8
2024-06-30,low,106.96449774144048,8
2024-07-07,low,106.03837824114731,8
2024-07-14,low,105.78523693934315,8
2024-07-21,low,105.49873967975172,8
2024-07-28,low,104.77549427903809,8
2024-08-04,low,104.66489837094723,8
2024-08-11,low,104.79488103992469,8
2024-08-18,low,104.84687410751569,8
2024-08-25,low,105.49008705631817,8
2024-09-01,low,107.92942099885042,8
2024-09-08,low,108.21551833146138,8
2024-09-15,low,108.03335622147728,8
2024-09-22,low,108.36264564955354,8
2024-09-29,low,106.10918544194108,8
2024-10-06,low,107.58274963568871,8
2024-10-13,low,107.45899085036282,8
2024-10-20,low,108.11659192825111,8
2024-10-27,low,108.10553633217994,8
2024-11-03,low,106.8166089965398,8
2024-11-10,low,106.80795847750866,8
2024-11-17,low,106.80795847750866,8
2024-11-24,low,110.48068669527898,8
2024-12-01,low,115.84615384615384,8
2024-12-08,low,115.84615384615384,8
2024-12-15,low,111.1587982832618,8
2024-12-22,low,112.95012520555738,8
2024-12-29,low,112.90494102530226,8
2025-01-05,low,113.52658399464534,8
2025-01-12,low,118.57997010463379,8
2025-01-19,low,116.79891410107543,8
2025-01-26,low,118.90191839292092,8
2025-02-02,low,118.35383667891992,8
2025-02-09,low,116.51692680767528,8
2025-02-16,low,116.96327873900577,8
2025-02-23,low,125.53467707315053,8
2025-03-02,low,128.62127234609662,8
2025-03-09,low,124.74583982014506,8
2025-03-16,low,118.53113245272448,8
2025-03-23,low,121.02007351950576,8
2025-03-30,low,120.57299451918286,8
2025-04-06,low,120.44843049327353,8
2025-04-13,low,119.31330472103004,8
2025-04-20,low,118.95797327379921,8
2025-04-27,low,118.99035992053564,8
