Date,btc_krw,etc_krw,usdkrw,nvda,nasdaq,sox
2024-10-27,18.348076076994698,10.15832477477252,7.226322819052337,4.953684109820701,9.823674686167708,8.552839021020883
2024-11-03,18.391323149144405,10.157102611261251,7.230456879680029,4.925518416033112,9.822444379888303,8.54231277888063
2024-11-10,18.456021946092132,10.23680231258488,7.230113603961574,4.966164216729074,9.843016921482606,8.55112055610225
2024-11-17,18.645790074434558,10.411817680620151,7.244829047224847,4.981130270199921,9.858403159081524,8.521317282922123
2024-11-24,18.71353357274136,10.559771278483652,7.240392495481747,4.9715488863980415,9.84924992613806,8.501489939130725
2024-12-01,18.7064023482086,10.691481855641095,7.240802776519999,4.916866648945082,9.858846603623562,8.501781027055738
2024-12-08,18.75266962727841,10.851610745891444,7.24755464469399,4.957445787401153,9.885083129937973,8.529125040326914
2024-12-15,18.78342565865184,10.755690115353739,7.264276834441946,4.919225261181085,9.8963251442912,8.51998683822977
2024-12-22,18.787241428611026,10.629541124131677,7.271159603545118,4.877321981926342,9.889446265268036,8.526980817587965
2024-12-29,18.760513166223202,10.571853275637366,7.28152457805581,4.9355952333910995,9.897675341273018,8.546281519606934
2025-01-05,18.76554058875761,10.582857594050468,7.293927542217446,4.931202934925713,9.874291525676998,8.526633803584534
2025-01-12,18.75868255900976,10.542505880168966,7.284824248966527,4.950645098173863,9.878026333331237,8.552486725483796
2025-01-19,18.80008497051216,10.556037321302247,7.2837086139103615,4.901122975035365,9.868952095910712,8.544312463291218
2025-01-26,18.820405547335916,10.565613389619458,7.270560133487374,4.9723159492770215,9.900643580308559,8.595702285002744
2025-02-02,18.809135074474664,10.507502238953167,7.268725768982856,4.812755714551421,9.883433266482552,8.50602846239527
2025-02-09,18.76816042643664,10.299753714834976,7.279588073969826,4.816877651108745,9.883807435263163,8.52089402416201
2025-02-16,18.758999693573973,10.314736073408259,7.2786830521455315,4.899782448958362,9.893207822642122,8.539741399058665
2025-02-23,18.748095332059336,10.299307291197715,7.27039925789484,4.9289088983907785,9.898212131467504,8.566118690352704
2025-03-02,18.658252380791176,10.232187894353194,7.269145734919202,4.840612867285054,9.849792146816814,8.489977915644657
2025-03-09,18.649435467988074,10.24947220337508,7.280702517959172,4.73672295211568,9.814109827063444,8.433614565968488
2025-03-16,18.600511586854736,10.15566270763259,7.280182798261103,4.732609054526373,9.771170479123954,8.403301369332674
2025-03-23,18.63040746635703,10.168674554014027,7.279259378434659,4.768193402930633,9.78174423768795,8.435814788689473
2025-03-30,18.64685147943925,10.154460530283899,7.289023921967154,4.747236795782899,9.792227653151826,8.414118632395022
2025-04-06,18.61087636964752,10.06186296165525,7.290014306747591,4.652039406595149,9.733928924951297,8.309617689919545
2025-04-13,18.58338693152677,9.980150049771922,7.287590856944649,4.654741498123671,9.693185366643018,8.260382347109116
2025-04-20,18.603172352744668,9.988807869166818,7.258357679866567,4.673826562030495,9.714741738768748,8.275828822647046
2025-04-27,18.708213294121688,10.080398424967878,7.263216582456947,4.635126027712383,9.72175348232953,8.29420757813261
2025-05-04,18.721981217031548,10.07323928320031,7.267275293505691,4.705084019584667,9.775144257702303,8.357228376938702
2025-05-11,18.75564004541337,10.130673316104822,7.236899528898752,4.7505583188217715,9.788388471898173,8.387038396478928
2025-05-18,18.799328936501873,10.205387444574132,7.248704313406837,4.879608054968206,9.854134643978197,8.49803332609731
2025-05-25,18.819690819003032,10.155497867586988,7.234823247880743,4.891349162029875,9.851032251334816,8.479127481542383
2025-06-01,18.804389725151086,10.104700208687964,7.222801837998188,4.913493188995266,9.859921709545723,8.482255538051604
2025-06-08,18.778258782992925,10.057185717119435,7.222743508463262,4.944515891672047,9.872296622489523,8.512244246778838
2025-06-15,18.802063260374545,10.073786183012684,7.214112008436099,4.964564823058483,9.88318310684419,8.555315337978485
2025-06-22,18.775747881527913,10.01024672344556,7.22241239080561,4.97334614245563,9.880923747240937,8.56375539416391
2025-06-29,18.795717735622123,10.011304485273504,7.214491291265436,5.022045538500799,9.90300967174473,8.603744578464395
2025-07-06,18.805473072220405,10.02008958412937,7.21221878148999,5.055785267253502,9.922859845938852,8.626547441754363
2025-07-13,18.871025912490843,10.105632436448277,7.222966609621307,5.087481228838444,9.929714469159965,8.6394604782807
2025-07-20,18.918235326906238,10.29448076835845,7.233180116813855,5.13727237099985,9.941058592413341,8.649319749423361
2025-07-27,18.91280806814084,10.371043752422924,7.229521501426007,5.143067945952604,9.952777822742409,8.6413726239721
2025-08-03,18.895588173165546,10.263327453226722,7.236186600967917,5.173798441260017,9.953938985554007,8.644551513187562
2025-08-10,18.89898398429889,10.31246042208394,7.234133908817033,5.194033917655378,9.960136854888352,8.632203093670027
2025-08-17,18.921728680034214,10.358830764741965,7.233789090877146,5.203037419210908,9.981488165085594,8.666928462297106
2025-08-24,18.885364336869863,10.34196805239261,7.23888553820373,5.1770270258178375,9.968431099495188,8.645915121604185
2025-08-31,18.84687196107536,10.291847404678904,7.236053542509767,5.189921708367353,9.978069587394518,8.662470155919667
2025-09-07,18.851944821112067,10.25690923181115,7.238214027232442,5.135694962938036,9.977928903844953,8.640559478403521
2025-09-14,18.884335711789877,10.293919836271247,7.234923835229831,5.160248469593174,9.996492035149334,8.685470228554113
