Date,btc_krw_ret,fx_ret
2025-03-09,-0.008445695370600248,-0.0023201445095279993
2025-03-16,-0.018923745007171533,0.004848255360296427
2025-03-23,0.004136633542199064,0.008419675406184268
2025-03-30,-0.011693446304356314,-0.0026846470814518852
2025-04-06,0.0034937158972674354,-0.007697680074656432
2025-04-13,-0.005576597751996815,0.0009370420899070808
2025-04-20,-0.00447409746765004,-0.026384291574975904
2025-04-27,0.12085624547443174,0.011131242847134182
2025-05-04,-0.014371982822233065,0.00351807377615998
2025-05-11,0.08520500571288991,-0.02201607128420413
2025-05-18,-0.012254074104436796,-0.0048770343531794325
2025-05-25,0.01960163675877169,-0.011287392756877956
2025-06-01,-0.017238635981300376,-0.007944027706506596
2025-06-08,-0.00730772239582933,-0.011640658182284547
2025-06-15,0.002646440355881907,-0.0035202781651495485
2025-06-22,-0.02592070468705643,0.01842468483817683
2025-06-29,0.0382065326756873,-0.016226781491284648
2025-07-06,0.011245917140506378,0.0032030950339700937
2025-07-13,0.09371641765926597,0.011385851398933333
2025-07-20,0.013041758632986955,0.013703857152729704
2025-07-27,-0.0054437221464453955,-0.01417023136328055
2025-08-03,-0.043145603899382934,0.014119966161698194
2025-08-10,0.03450190909973472,-0.004711037863940781
2025-08-17,0.008649283257657459,0.0020917366362267487
2025-08-24,-0.021521909251045912,0.008423421680650911
2025-08-31,-0.0551739689806503,-0.01091953513051891
2025-09-07,0.011029503061845247,0.005510625735163366
2025-09-14,0.05536983431009901,-0.0018407363225509954
2025-09-21,0.0010963622645547844,-0.001981090247214823
2025-09-28,-0.04477750632827693,0.015860604685555835
2025-10-05,0.10835818142286868,-0.0023378803033873297
2025-10-12,-0.08413650294282249,0.01123408944106341
2025-10-19,-0.03856544795708672,-0.00408147886503496
2025-10-26,0.05258754853266012,0.014111805089414453
2025-11-02,-0.02132564449636476,-0.008266148450270627
2025-11-09,-0.054489600753708345,0.01663037611639595
2025-11-16,-0.07245001702002085,0.0144676495247964
2025-11-23,-0.1073528292036201,0.0028753587660901303
2025-11-30,0.06914146514725417,-0.008281397749916763
2025-12-07,-0.013131755184975447,0.0078061715381902985
2025-12-14,0.011840162157998435,-0.0006454061022820312
2025-12-21,-0.02101792646238465,0.002382358064399348
2025-12-28,-0.02910540783008031,-0.019102109380500387
2026-01-04,0.03159963358001505,-0.004411376216407525
2026-01-11,0.007774739426256616,0.0070819698410389265
2026-01-18,0.06194106748152706,0.011851838814191495
2026-01-25,-0.08380107161852024,-0.0031376688367537042
2026-02-01,-0.12201599733549529,-0.02336219145096674
2026-02-08,-0.11756643774256403,0.02864284421256702
2026-02-15,-0.00887394378235129,-0.021562799303823432
2026-02-22,-0.02260264922816546,0.006292156958059181
2026-03-01,-0.0184846105559906,-0.01226083117550747
2026-03-08,0.035076965455303366,0.03214199678470475
2026-03-15,0.06862010078454261,0.00645275176633664
2026-03-22,-0.0336887161213113,8.737268974012835e-05
2026-03-29,-0.03374912769204741,0.013404353025711302
