row_id,date,gpu_log_return,Id,Name,vram_gb,gpu_chip_clean,chip_perf_group,h2_perf_group
5,2025-03-09,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-03-16,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-03-23,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-03-30,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-04-06,0.2643865098482596,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-04-13,-0.3184537311185345,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-04-20,0.105360515657825,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-04-27,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-05-04,-0.05129329438755015,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-05-11,0.05129329438755015,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-05-18,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-05-25,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-08-10,-0.03296159409948629,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-08-17,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-08-24,-0.1540208012635329,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-08-31,0.1503773359447802,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-09-07,0.04161948637259272,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-09-14,-0.0007505629574264816,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2025-10-05,-0.001506780797386753,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2026-02-01,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2026-02-08,1.7372512837439817,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
5,2026-02-15,0.0,6643693,라데온 RX 570 D5 8GB (중고),8.0,RX 570,low,mid
6,2024-12-01,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2024-12-08,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-01-05,-0.04072097931738128,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-01-12,-0.10648348040244926,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-01-19,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-01-26,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-02-02,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-02-09,0.14720445971983054,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-02-16,-0.18976407413862795,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-02-23,0.18976407413862795,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-03-02,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-03-09,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-03-16,0.058941515225807706,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-03-23,0.0,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-03-30,-0.058941515225807706,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
6,2025-04-06,0.10909129891127911,6830257,라데온 RX 580 D5 8GB (중고),8.0,RX 580,low,mid
