,corr_8w,beta_8w,corr_12w,beta_12w,corr_24w,beta_24w
2025-09-28,0.4610281448244432,0.027844503349915003,0.45389653475473457,0.03471536567758482,0.1859929185111043,0.011978529750895611
2025-10-05,0.2312438072416918,0.008276737978215046,0.25330550593811885,0.013864069351903796,0.20997235613659165,0.01254634254383171
2025-10-12,0.14959941984339004,0.004126347790765705,0.20371990011606272,0.011970979919960753,0.16334728908626056,0.01010513444338644
2025-10-19,-0.5624245011138768,-0.0329820502228364,-0.3849170453058283,-0.02444722239418644,-0.15514215998669342,-0.011179425519065037
2025-10-26,-0.8317442878850381,-0.04606494187338398,-0.3973436493143601,-0.0250245901718986,-0.13967524546975701,-0.010018447921105116
2025-11-02,-0.8067028933169527,-0.045185926313688646,-0.4155862505147907,-0.024060112693594465,-0.19520371057947594,-0.016561225564872255
2025-11-09,-0.8294451403977174,-0.05962231064120471,-0.5820307553760459,-0.04237846742786531,-0.33358268799349083,-0.03108608103600461
2025-11-16,-0.8212013890756223,-0.06382519912523635,-0.6550314974394519,-0.05208676744387263,-0.35069476742675354,-0.03477580630867479
2025-11-23,-0.6141728426476121,-0.03828395809049594,-0.6216384696486266,-0.03801657675612344,-0.30151829956294884,-0.025703137042231143
2025-11-30,-0.4978857179341706,-0.03494098063438165,-0.6062399007102076,-0.035851482737366394,-0.2750288787353907,-0.023643167466070477
2025-12-07,-0.46207613444253853,-0.030793376578357262,-0.5884477941532876,-0.0354384121757946,-0.3014477924480785,-0.023976704304910397
2025-12-14,-0.3523957845671376,-0.022021641575621313,-0.5786547746065854,-0.03483261845048008,-0.3341883792135771,-0.025697111583704697
2025-12-21,-0.3067840653861172,-0.01939690910501194,-0.6229251301633278,-0.037143651940005774,-0.3366526811752339,-0.02604186056711563
2025-12-28,-0.17449088380146913,-0.00966839479567713,-0.4847252207027078,-0.03287180197704026,-0.3842321623474331,-0.028886210444277114
2026-01-04,0.10650817241426103,0.004642385631502885,-0.38944843343604346,-0.025191552099839108,-0.35040632709845043,-0.028276515620039997
2026-01-11,0.45910876214832463,0.022374926288171497,-0.028113353552287276,-0.0019125618567913173,-0.23390997819856313,-0.018162584509574163
2026-01-18,0.5918514616144009,0.20477436274538308,0.4095176710321676,0.074235981310533,0.1299367811718349,0.020200843801685662
2026-01-25,-0.3859589947661551,-0.18332394412710418,-0.09506758734563259,-0.03102204680423797,-0.17498530106541532,-0.047660542866861944
2026-02-01,-0.6108144185991011,-0.3395313646501782,-0.334020784329731,-0.1537590422771909,-0.317112173266447,-0.12159048852586567
2026-02-08,-0.283068118020545,-0.10089080921308949,-0.256689108405012,-0.0894709678626762,-0.3173409154135279,-0.10120468704621889
2026-02-15,-0.26382150095525025,-0.09376706994469061,-0.3478572247074789,-0.1306047630569964,-0.32170476621285826,-0.10132097637635133
2026-02-22,-0.258779996968159,-0.09586772731860048,-0.3210901151156698,-0.1250823735876548,-0.3135263628205166,-0.09953349089511934
2026-03-01,-0.2135684919951641,-0.08166299579672483,-0.29257773818019733,-0.11518599406752837,-0.2973363934165578,-0.0961510597604923
2026-03-08,-0.3353511465119652,-0.1258782563054225,-0.3690895427297221,-0.13528775462902592,-0.3338442007010711,-0.1041965940084357
2026-03-15,-0.523842768177382,-0.21143667793131682,-0.42995472036820365,-0.15753698080121814,-0.3632670936427714,-0.11269748602622791
2026-03-22,-0.5317723020061939,-0.18414656850551606,-0.4463417172335878,-0.16475340823227738,-0.3585696589157372,-0.11780087001898093
2026-03-29,-0.8972917461445075,-0.10022544832473688,-0.40735529861802505,-0.15483040449074245,-0.3378442319471806,-0.1126599696379945
