,gpu_index,log_btc_krw,log_usdkrw,log_nvda,log_gpu_index,ec_term,d_log_gpu,d_log_btc,d_log_usdkrw,d_log_nvda,ec_l1,d_log_btc_l0,d_log_btc_l1,d_log_btc_l2,d_log_btc_l3,d_log_btc_l4,d_log_btc_l5,d_log_btc_l6,d_log_btc_l7,d_log_btc_l8
2024-06-23,100.50874133236864,18.3117537789629,7.231703463662129,4.874247600270584,4.610244702148255,-0.026652797588051058,0.001492290134278207,-0.03301168989894521,0.00556668712566033,0.040010137232115994,-0.027645252842678936,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926,0.01189797564162376
2024-06-30,100.53438120228678,18.256184123338567,7.236441162133708,4.816483902017394,4.610499770511041,-0.027239117600601936,0.00025506836278577083,-0.055569655624331915,0.004737698471579677,-0.05776369825318994,-0.026652797588051058,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902,-0.05130844271496926
2024-07-07,100.28641025125091,18.21511714202905,7.2317416190596,4.829853673162912,4.608030194773706,-0.030330494576324973,-0.0024695757373347504,-0.04106698130951614,-0.004699543074108803,0.013369771145518072,-0.027239117600601936,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784,-0.001375468331811902
2024-07-14,100.34899155087253,18.200846794029125,7.22925325779305,4.868577228738321,4.608654025873193,-0.029922732926688234,0.0006238310994870488,-0.014270347999925548,-0.00248836126654961,0.03872355557540885,-0.030330494576324973,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896,0.04611355010639784
2024-07-21,100.38252740441506,18.32736269221531,7.230461868014112,4.805882335144668,4.608988162276177,-0.027673000595798136,0.00033413640298363134,0.12651589818618447,0.001208610221062223,-0.06269489359365288,-0.029922732926688234,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038,0.06864958041354896
2024-07-28,100.63852579395996,18.344996266779393,7.233389940734225,4.762060735622801,4.611535144533634,-0.024859025777614008,0.0025469822574573087,0.017633574564083432,0.002928072720112418,-0.04382159952186715,-0.027673000595798136,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551,-0.010917812308282038
2024-08-04,100.8549651381323,18.276219629378776,7.227481645624328,4.697035771899835,4.61368349608998,-0.02375203146117677,0.002148351556345851,-0.06877663740061735,-0.005908295109896322,-0.06502496372296562,-0.024859025777614008,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737,0.0266188741577551
2024-08-11,100.8912842566858,18.192529508028162,7.221674287780429,4.630700674731633,4.61404354361557,-0.024659148441894985,0.000360047525590268,-0.08369012135061382,-0.005807357843899297,-0.06633509716820196,-0.02375203146117677,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521,-0.03624910725102737
2024-08-18,100.92472664390132,18.199351830975935,7.217404430514328,4.770254706898834,4.6143749582280424,-0.024224436028553065,0.000331414612472436,0.006822322947773074,-0.0042698572661006295,0.13955403216720086,-0.024659148441894985,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915,-0.03301168989894521
2024-08-25,101.06299352955725,18.22452509173115,7.197515316908264,4.849613144071678,4.61574402073475,-0.022474221457273735,0.0013690625067077633,0.025173260755213533,-0.019889113606064157,0.07935843717284374,-0.024224436028553065,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614,-0.055569655624331915
2024-09-01,100.68526657628628,18.18887977997192,7.192393875787881,4.814900167095369,4.611999478953484,-0.02675847417632582,-0.003744541781266264,-0.035645311759228804,-0.005121441120382819,-0.034712976976308596,-0.022474221457273735,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548,-0.04106698130951614
2024-09-08,100.63290784672454,18.135152551351887,7.1971836469678365,4.663372062756896,4.611479319947549,-0.028092125097805898,-0.0005201590059353833,-0.05372722862003343,0.00478977117995516,-0.15152810433847286,-0.02675847417632582,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447,-0.014270347999925548
2024-09-15,100.7214298077661,18.175117131363738,7.200012383685691,4.73406958450867,4.612358585502747,-0.02660774992532744,0.0008792655551985717,0.039964580011851325,0.002828736717854774,0.07069752175177335,-0.028092125097805898,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432,0.12651589818618447
2024-09-22,100.94542947760604,18.22401637462679,7.1886231697754255,4.752437623605614,4.614580068623507,-0.023645876129440246,0.0022214831207598706,0.04889924326305106,-0.011389213910265816,0.018368039096944067,-0.02660774992532744,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735,0.017633574564083432
