Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30
13287515,ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 패키지,ADATA XPG SPECTRIX D50 RGB 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550,103550
9276858,ADATA XPG DDR4-3600 CL17 SPECTRIX D60G RGB 패키지,ADATA XPG SPECTRIX D60G RGB 패키지,DDR4,3600,CL17,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300,424300
21592844,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,117500,117500,117500,117500,117500,117500,117500,117500,117500,0,0,0,0,0,0,0,0,0,113710,113710,113710,113710,113710,113710,113710,0,0
21592844,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,58660,58660,58660,58660,58660,58660,58660,58660,58660,0,0,0,0,0,0,0,0,0,61410,61410,61410,61410,61410,61410,61410,0,0
21592682,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113710,113710
21592682,ADATA XPG DDR4-3600 CL18 GAMMIX D35 블랙 패키지,ADATA XPG GAMMIX D35 블랙 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61410,61410
21593219,ADATA XPG DDR4-3600 CL18 GAMMIX D35 화이트 패키지,ADATA XPG GAMMIX D35 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63500,0,0,63500,63500,63500,63500,0,0,0,0,0,0
20754176,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,121700,121690,121640,120680,120600,120580,120560,0,0,0,0,0,0,0,0,0,0,0,119650,0,119650,119650,119650,119650,0,0,0,0,0
20754176,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,73660,73650,73610,73580,73510,73400,73380,0,0,0,0,0,0,0,0,0,0,0,73320,0,73320,73320,73320,73320,0,0,0,0,0
20754203,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,0,0,0,0,0,120460,120450,120440,120430,120420,120410,120400,120390,120380,120300,120300,0,119650,0,0,0,0,119650,119650,119650,119650,119650
20754203,ADATA XPG DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,ADATA XPG SPECTRIX D35G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,0,0,0,73610,73510,73500,73490,73470,73410,73400,73390,73380,73980,73930,0,73320,0,0,0,0,73320,73320,73320,73320,73320
17171081,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,0,0,0,0,0,0,0,0,0,0
17171081,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123000,0,0,0,0,0,0,0,0,0,0
20102375,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,16GB(8GX2),16,0,0,0,0,112000,112000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,0,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
20102375,ADATA XPG DDR4-3600 CL18 SPECTRIX D45G RGB 화이트 패키지,ADATA XPG SPECTRIX D45G RGB 화이트 패키지,DDR4,3600,CL18,32GB(16GX2),32,0,0,0,0,128180,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000,0,123000,123000,123000,123000,123000,123000,123000,123000,123000,123000
15593045,ADATA XPG DDR5-5200 CL38 LANCER,ADATA XPG LANCER,DDR5,5200,CL38,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410,189410
15593141,ADATA XPG DDR5-5200 CL38 LANCER RGB 블랙,ADATA XPG LANCER RGB 블랙,DDR5,5200,CL38,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570,168570
15598844,ADATA XPG DDR5-5200 CL38 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,5200,CL38,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000,374000
15598841,ADATA XPG DDR5-5200 CL38 LANCER 블랙 패키지,ADATA XPG LANCER 블랙 패키지,DDR5,5200,CL38,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780340,780340,780346,780346,780346,780346,780340,780340,780340,780340,780346,780346,780346
19229168,ADATA XPG DDR5-6000 CL30 CASTER 패키지,ADATA XPG CASTER 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178590,178590,178590,178990,179000,179000,178990,179000,178990,178990,178990,178990,178990
27785552,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지,ADATA XPG LANCER BLADE RGB 블랙 패키지,DDR5,6000,CL30,64GB(32GX2),64,328200,328180,328070,328050,328030,327990,327990,0,0,0,0,328500,0,0,0,0,0,328500,0,327740,327740,327740,327740,327740,327740,327740,327740,327740,327740
27785552,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지,ADATA XPG LANCER BLADE RGB 블랙 패키지,DDR5,6000,CL30,32GB(16GX2),32,171820,171800,171690,171660,171610,171590,171570,0,0,0,0,171310,0,0,0,0,0,171050,0,172990,172990,172990,172980,172860,172750,172650,172530,172410,172320
46365512,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지,ADATA XPG LANCER BLADE RGB 블랙 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,0,0,327890,327880,328500,328500,0,328500,328500,328500,328500,328500,0,327740,0,0,0,0,0,0,0,0,0,0
46365512,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지,ADATA XPG LANCER BLADE RGB 블랙 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,0,171520,171420,171410,171320,0,166410,171130,171120,171110,171110,0,171040,0,0,0,0,0,0,0,0,0,0
46390997,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지,ADATA XPG LANCER BLADE RGB 화이트 패키지,DDR5,6000,CL30,64GB(32GX2),64,328490,328490,328490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328490,327740,0,0,0,0,0,0,0,0,0,0
46390997,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지,ADATA XPG LANCER BLADE RGB 화이트 패키지,DDR5,6000,CL30,32GB(16GX2),32,170640,170630,170610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169790,169110,0,0,0,0,0,0,0,0,0,0
27785618,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지,ADATA XPG LANCER BLADE RGB 화이트 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,328490,328490,328450,328450,328320,328220,328210,328490,328490,306320,328430,328420,328410,328490,0,0,327740,327740,327740,327740,327740,327740,327740,327740,327740,327740
27785618,ADATA XPG DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지,ADATA XPG LANCER BLADE RGB 화이트 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,170590,170570,170490,170490,170360,170260,170250,170160,170140,170040,169960,169940,169850,169840,0,0,169110,169110,169110,169110,169110,169110,169110,169110,169110,169110
57504575,ADATA XPG DDR5-6000 CL30 LANCER BLADE 블랙,ADATA XPG LANCER BLADE 블랙,DDR5,6000,CL30,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85050,85000,85000,85000,85000,85000,85000,85000,85000,84540,85000
19235489,ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,6000,CL30,64GB(32GX2),64,334790,334770,334660,334630,0,334560,334540,334490,0,0,0,0,0,0,335020,335020,335020,335020,0,0,0,0,0,0,0,0,334750,334630,334540
19235489,ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,6000,CL30,32GB(16GX2),32,172990,172990,172990,172990,0,178880,178860,178810,0,0,0,0,0,0,178990,178990,178990,178990,0,0,0,0,0,0,0,0,178720,178600,178510
19235519,ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,334580,0,0,0,334390,334380,335020,335020,308580,335020,0,0,0,0,335020,335020,335020,335020,335020,335020,334930,334870,0,0,0
19235519,ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,178990,0,0,0,178710,178700,179000,178990,165280,178990,0,0,0,0,178990,178990,178990,178990,178990,178990,178900,178840,0,0,0
19235594,ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,6000,CL30,64GB(32GX2),64,338000,338000,338000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338000,0,0,0,0,0,0,0,0,0,0
19235594,ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,6000,CL30,32GB(16GX2),32,178150,178040,177930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178990,0,0,0,0,0,0,0,0,0,0
19235582,ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000,0,338000,338000,338000,338000,338000,337920,337900,337860,337800,337710
19235582,ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,177910,177890,178500,178500,178500,178500,178500,178990,178990,165280,178990,178990,178990,178990,178990,0,178990,178990,178990,178990,178990,178900,178870,178840,178720,178630
16047602,ADATA XPG DDR5-6000 CL40 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,6000,CL40,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000,575000
27785819,ADATA XPG DDR5-6400 CL32 LANCER BLADE RGB 블랙 패키지,ADATA XPG LANCER BLADE RGB 블랙 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174000,174000,174000,174000,174000,174000,173990,174000,173990,174000,174000,173990,173990
27785843,ADATA XPG DDR5-6400 CL32 LANCER BLADE RGB 화이트 패키지,ADATA XPG LANCER BLADE RGB 화이트 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174000,174000,174000,174000,174000,174000,173990,174000,173990,174000,174000,173990,173990
19235621,ADATA XPG DDR5-6400 CL32 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000
17080238,ADATA XPG DDR5-6400 CL40 CASTER 패키지,ADATA XPG CASTER 패키지,DDR5,6400,CL40,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193080,193080,193080,193080,193080,193080,193080,193080,193080,193080,193080,193080,193080
