Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
5850669,마이크론 Crucial DDR3-1600 중고,마이크론 Crucial 중고,DDR3,1600,0,4GB,4,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,0,8000,8000,8000,8000,8000
10294092,마이크론 Crucial DDR4-3200 CL22,마이크론 Crucial,DDR4,3200,CL22,32GB,32,78778,80540,80540,80540,80540,80530,80530,80450,81890,81780,81780,81590,81490,81490,81410,81220,81110,80930,80740,80730,80730,80640,80450,83100,0,83090,83090,83090,83040,82940
10294092,마이크론 Crucial DDR4-3200 CL22,마이크론 Crucial,DDR4,3200,CL22,16GB,16,40260,40260,41330,41330,41330,41330,41330,42030,41940,41930,41930,41930,41930,41930,41930,41930,41930,41930,41930,41930,41930,41920,41910,41910,0,41850,41840,41840,41840,41840
10294092,마이크론 Crucial DDR4-3200 CL22,마이크론 Crucial,DDR4,3200,CL22,8GB,8,21071,21920,21710,21700,22230,22230,22230,22230,22230,21950,21860,21750,21720,21720,21720,21720,21720,21720,21720,21720,21720,21720,21720,21720,0,21720,21720,21720,21720,21720
20369102,마이크론 Crucial DDR4-3200 CL22 대원씨티에스,마이크론 Crucial 대원씨티에스,DDR4,3200,CL22,16GB,16,42860,42860,42860,42860,42720,42720,42720,42720,42720,42720,42720,42720,42720,42720,42720,42690,42690,42690,42690,42690,42690,42690,42690,42690,0,42680,42680,42680,42680,42680
20369102,마이크론 Crucial DDR4-3200 CL22 대원씨티에스,마이크론 Crucial 대원씨티에스,DDR4,3200,CL22,8GB,8,21160,21160,21770,21790,21760,21770,21760,21760,21760,21760,21760,21760,21770,21770,21790,21790,21790,21880,21880,21880,21880,21880,21790,21790,0,21480,21480,21480,21480,21480
15879230,마이크론 Crucial DDR5-4800 CL40,마이크론 Crucial,DDR5,4800,CL40,32GB,32,108811,110600,110340,110600,110340,110340,110340,112450,112190,112050,112050,111780,111520,111520,111400,111130,110990,110740,110470,110460,110460,110340,114300,114040,0,113640,113620,113590,113510,113330
15879230,마이크론 Crucial DDR5-4800 CL40,마이크론 Crucial,DDR5,4800,CL40,16GB,16,55070,54980,54960,54840,54760,54740,54650,54640,54540,54510,54490,54380,54280,55920,55810,55740,55640,55550,55530,55420,55330,55330,55940,55940,0,55940,55940,55940,55940,55940
15879230,마이크론 Crucial DDR5-4800 CL40,마이크론 Crucial,DDR5,4800,CL40,8GB,8,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,0,33500,33500,33500,33500,33500
18486497,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,32GB,32,110331,110280,111900,113050,113000,113000,113000,115160,114890,113000,113000,115150,115010,115010,114890,114620,0,0,0,0,0,0,0,113390,0,113130,116260,116260,116260,116260
