Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31
7029922,G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 실버 패키지,G.SKILL TRIDENT Z ROYAL 실버 패키지,DDR4,3000,CL16,16GB(8GX2),16,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490,180490
9470907,G.SKILL DDR4-3200 CL14 TRIDENT Z NEO 패키지,G.SKILL TRIDENT Z NEO 패키지,DDR4,3200,CL14,32GB(8GX4),32,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100,397100
4905041,G.SKILL DDR4-3200 CL14 TRIDENT Z RGB 패키지,G.SKILL TRIDENT Z RGB 패키지,DDR4,3200,CL14,16GB(8GX2),16,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120,240120
7030135,G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 실버 패키지,G.SKILL TRIDENT Z ROYAL 실버 패키지,DDR4,3200,CL14,16GB(8GX2),16,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870,469870
9593742,G.SKILL DDR4-3200 CL16 AEGIS,G.SKILL AEGIS,DDR4,3200,CL16,16GB,16,35990,35990,35990,36000,35990,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,35780,35780,35780,35780,36000,43000,43000,43000,43000,43000,41400,42750,0,0,0
9593742,G.SKILL DDR4-3200 CL16 AEGIS,G.SKILL AEGIS,DDR4,3200,CL16,8GB,8,18990,18990,18990,19000,18990,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,0,0,0
9593730,G.SKILL DDR4-3200 CL16 AEGIS,G.SKILL AEGIS,DDR4,3200,CL16,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42750,41400,0
9593730,G.SKILL DDR4-3200 CL16 AEGIS,G.SKILL AEGIS,DDR4,3200,CL16,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,19000,19000
10019379,G.SKILL DDR4-3200 CL16 RIPJAWS V VK,G.SKILL RIPJAWS V VK,DDR4,3200,CL16,32GB,32,91990,91990,91990,92000,92000,92000,92000,92000,92000,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019379,G.SKILL DDR4-3200 CL16 RIPJAWS V VK,G.SKILL RIPJAWS V VK,DDR4,3200,CL16,16GB,16,44500,44500,44500,44500,44500,44500,44500,47530,47530,47530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
