Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31
56144441,PATRIOT DDR5-6000 CL30 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,0,0,147980,147980,147980,147980,147980,147980,147980,147980,147980,147980,147620,147980,147980,147980,147980,147980,147980,147980,147940,147620
56144513,PATRIOT DDR5-6000 CL30 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,270360,270360,270360,270360,270360,270360,270360,0,0,0,0,0,270360,270360,270360,277500,277500,277500,277500,277500,277500,277500,277500
56144513,PATRIOT DDR5-6000 CL30 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,125390,125390,125390,125390,125390,125390,125390,0,0,0,0,0,125390,125390,125390,125390,125390,125390,125390,125390,125390,125370,125370
56144501,PATRIOT DDR5-6000 CL30 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6000,CL30,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,270360,270360,270360,270360,270360,0,0,0,0,0,0,0,0,0,0,0
56144501,PATRIOT DDR5-6000 CL30 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6000,CL30,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,125390,125390,125390,125390,125390,0,0,0,0,0,0,0,0,0,0,0
30350996,PATRIOT DDR5-6000 CL36 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6000,CL36,32GB(16GX2),32,0,0,0,0,0,147990,146580,146550,146560,146440,147990,147990,147990,147990,147990,146560,146440,147990,147990,147990,147990,147990,147920,147800,147990,147990,147990,147990
30341372,PATRIOT DDR5-6000 CL36 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6000,CL36,32GB(16GX2),32,0,0,0,0,0,128840,127590,130000,127570,127450,128840,128840,128840,128840,128840,127620,127620,128840,128570,130000,130000,130000,129930,129810,130000,130000,130000,130000
30499808,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB,PATRIOT VIPER Elite 5 RGB,DDR5,6000,CL42,32GB,32,0,0,0,0,0,138690,138690,138690,138690,138690,138690,138690,0,0,0,0,0,138690,138690,138690,138690,138690,138690,138690,138690,138690,138690,138690
30499808,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB,PATRIOT VIPER Elite 5 RGB,DDR5,6000,CL42,16GB,16,0,0,0,0,0,76000,71170,76000,73940,73820,76000,76000,0,0,0,0,0,76000,73490,76000,76000,76000,75930,75810,76000,76000,76000,76000
30499826,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB,PATRIOT VIPER Elite 5 RGB,DDR5,6000,CL42,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,138690,138690,138690,138690,138690,0,0,0,0,0,0,0,0,0,0,0
30499826,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB,PATRIOT VIPER Elite 5 RGB,DDR5,6000,CL42,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,76000,76000,76000,72080,73190,0,0,0,0,0,0,0,0,0,0,0
30500066,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6000,CL42,96GB(48GX2),96,0,0,0,0,0,433870,433870,433850,433840,433830,433830,433830,433820,433820,433820,433810,433810,433810,433810,433810,433800,433800,433800,433800,433800,433800,433770,433700
30500066,PATRIOT DDR5-6000 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6000,CL42,48GB(24GX2),48,0,0,0,0,0,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990,226990
30351029,PATRIOT DDR5-6200 CL40 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6200,CL40,32GB(16GX2),32,0,0,0,0,0,149980,148810,148800,148800,148800,148800,148800,148800,148800,148800,148810,148810,149980,149890,149980,149980,149980,149980,149980,149980,149980,149980,149980
30341402,PATRIOT DDR5-6200 CL40 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6200,CL40,32GB(16GX2),32,0,0,0,0,0,133000,132960,132950,132940,132840,132880,132880,132880,132880,132880,132990,132990,132990,132990,132990,132990,132990,132940,132820,132990,132990,132990,132990
30500108,PATRIOT DDR5-6200 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6200,CL42,64GB(32GX2),64,0,0,0,0,0,285000,285000,285000,285000,285000,285000,285000,0,0,0,0,0,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000
30500108,PATRIOT DDR5-6200 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6200,CL42,32GB(16GX2),32,0,0,0,0,0,148990,148810,148800,148800,148800,148800,148800,0,0,0,0,0,148990,148990,148990,148990,148990,148990,148990,148990,148990,148990,148990
30500144,PATRIOT DDR5-6200 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6200,CL42,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,285000,285000,285000,285000,285000,0,0,0,0,0,0,0,0,0,0,0
30500144,PATRIOT DDR5-6200 CL42 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6200,CL42,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,148800,148800,148800,148810,148810,0,0,0,0,0,0,0,0,0,0,0
75466202,PATRIOT DDR5-6400 CL32 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6400,CL32,64GB(32GX2),64,0,0,0,0,0,299720,299720,299720,299720,299720,299720,299720,299720,299720,299720,299720,299720,299720,332480,332480,285000,285000,290000,290000,290000,290000,290000,290000
75466202,PATRIOT DDR5-6400 CL32 VIPER Elite 5 패키지,PATRIOT VIPER Elite 5 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,145990,145990,145990,145990,145990,145990
30351056,PATRIOT DDR5-6400 CL32 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,155480,155470,155460,155430,155350,155390,155390,155390,155390,155390,155480,155470,155480,155480,155480,155480,155480,155480,155470,155480,155480,155480,155480
30341426,PATRIOT DDR5-6400 CL32 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6400,CL32,64GB(32GX2),64,0,0,0,0,0,290000,289950,290000,289930,289810,290000,290000,0,0,0,0,0,290000,290000,290000,290000,290000,289930,289810,0,0,0,0
30341426,PATRIOT DDR5-6400 CL32 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,145970,144510,144500,144490,144390,144430,144430,0,0,0,0,0,145980,145620,145980,145980,145980,145970,145960,0,0,0,0
30341450,PATRIOT DDR5-6400 CL32 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6400,CL32,64GB(32GX2),64,0,0,0,0,0,0,0,0,0,0,0,0,290000,290000,290000,289930,289810,0,0,0,0,0,0,0,290000,290000,290000,290000
30341450,PATRIOT DDR5-6400 CL32 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6400,CL32,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,144430,144430,144430,144490,144370,0,0,0,0,0,0,0,145980,145980,145980,145980
93501587,PATRIOT DDR5-6400 CL52 SIGNATURE CUDIMM,PATRIOT SIGNATURE CUDIMM,DDR5,6400,CL52,32GB,32,0,0,0,0,0,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,148750,148630,150000,149890,150000,150000,150000,149930,149810,150000,150000,150000,150000
93501587,PATRIOT DDR5-6400 CL52 SIGNATURE CUDIMM,PATRIOT SIGNATURE CUDIMM,DDR5,6400,CL52,16GB,16,0,0,0,0,0,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,72250,72250,75000,72520,75000,75000,75000,74930,74810,75000,75000,75000,75000
93501548,PATRIOT DDR5-6400 CL52 SIGNATURE CUDIMM,PATRIOT SIGNATURE CUDIMM,DDR5,6400,CL52,32GB,32,0,0,0,0,0,0,0,150000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
93501548,PATRIOT DDR5-6400 CL52 SIGNATURE CUDIMM,PATRIOT SIGNATURE CUDIMM,DDR5,6400,CL52,16GB,16,0,0,0,0,0,0,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
30351077,PATRIOT DDR5-6600 CL34 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6600,CL34,32GB(16GX2),32,0,0,0,0,0,161980,161470,161460,161460,161460,161460,161460,161460,161460,161460,161470,161470,161980,161980,161980,161980,161980,161980,161980,161980,161980,161980,161980
30341480,PATRIOT DDR5-6600 CL34 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6600,CL34,32GB(16GX2),32,0,0,0,0,0,146980,145590,145580,145580,145580,145580,145580,145580,145580,145580,145590,145590,146980,146690,146980,146980,146980,146980,146980,146980,146980,146980,146980
30612317,PATRIOT DDR5-6600 CL36 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,6600,CL36,32GB(16GX2),32,0,0,0,0,0,156640,156640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640,158640
30351110,PATRIOT DDR5-6800 CL34 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,6800,CL34,32GB(16GX2),32,0,0,0,0,0,165980,165720,165710,165710,165710,165710,165710,165710,165710,165710,165720,165720,165980,165980,165980,165980,165980,165980,165980,165980,165980,165980,165980
30341495,PATRIOT DDR5-6800 CL34 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,6800,CL34,32GB(16GX2),32,0,0,0,0,0,146990,146980,146970,146970,146970,146970,146970,146970,146970,146970,146990,146990,146990,146990,146990,146990,146990,146930,146810,146990,146990,146990,146990
71501885,PATRIOT DDR5-7000 CL32 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,7000,CL32,32GB(16GX2),32,0,0,0,0,0,187960,187960,187950,187950,187950,187950,187950,187950,187950,187950,187980,187970,187980,187980,187980,187980,187980,187980,187980,187980,187980,187980,187980
30351131,PATRIOT DDR5-7000 CL32 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,7000,CL32,32GB(16GX2),32,0,0,0,0,0,184980,184970,184960,184960,184960,184960,184960,184960,184960,184960,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,182930
30341504,PATRIOT DDR5-7000 CL32 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,7000,CL32,32GB(16GX2),32,0,0,0,0,0,164980,164690,164680,164680,164680,164680,164680,164680,164680,164680,164690,164690,164980,164980,164980,164980,164980,164980,164980,164980,164980,164980,164980
30500216,PATRIOT DDR5-7000 CL38 VIPER Elite 5 RGB 패키지,PATRIOT VIPER Elite 5 RGB 패키지,DDR5,7000,CL38,32GB(16GX2),32,0,0,0,0,0,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980,184980
30351218,PATRIOT DDR5-7200 CL34 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980,186980
