date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2024-05-05,high,384,16.0,0.041666666666666664,5.953243334287785,384,4,0.010416666666666666
2024-05-05,low,61,1.0,0.01639344262295082,4.127134385045092,61,1,0.01639344262295082
2024-05-05,mid,298,3.0,0.010067114093959731,5.700443573390687,298,0,0.0
2024-05-12,high,387,9.0,0.023255813953488372,5.961005339623274,387,5,0.012919896640826873
2024-05-12,low,62,1.0,0.016129032258064516,4.143134726391533,62,0,0.0
2024-05-12,mid,295,5.0,0.01694915254237288,5.69035945432406,295,6,0.020338983050847456
2024-05-19,high,383,3.0,0.007832898172323759,5.950642552587727,383,2,0.005221932114882507
2024-05-19,low,58,0.0,0.0,4.07753744390572,58,0,0.0
2024-05-19,mid,296,3.0,0.010135135135135136,5.6937321388027,296,1,0.0033783783783783786
2024-05-26,high,390,5.0,0.01282051282051282,5.968707559985366,390,5,0.01282051282051282
2024-05-26,low,59,2.0,0.03389830508474576,4.0943445622221,59,2,0.03389830508474576
2024-05-26,mid,292,2.0,0.00684931506849315,5.680172609017068,292,4,0.0136986301369863
2024-06-02,high,385,2.0,0.005194805194805195,5.955837369464831,385,2,0.005194805194805195
2024-06-02,low,60,0.0,0.0,4.110873864173311,60,0,0.0
2024-06-02,mid,290,1.0,0.0034482758620689655,5.673323267171493,290,1,0.0034482758620689655
2024-06-09,high,387,3.0,0.007751937984496124,5.961005339623274,387,3,0.007751937984496124
2024-06-09,low,58,1.0,0.017241379310344827,4.07753744390572,58,1,0.017241379310344827
2024-06-09,mid,288,3.0,0.010416666666666666,5.666426688112432,288,7,0.024305555555555556
2024-06-16,high,385,0.0,0.0,5.955837369464831,385,3,0.007792207792207792
2024-06-16,low,58,1.0,0.017241379310344827,4.07753744390572,58,4,0.06896551724137931
2024-06-16,mid,293,0.0,0.0,5.683579767338681,293,6,0.020477815699658702
2024-06-23,high,384,1.0,0.0026041666666666665,5.953243334287785,384,4,0.010416666666666666
2024-06-23,low,60,0.0,0.0,4.110873864173311,60,1,0.016666666666666666
2024-06-23,mid,297,3.0,0.010101010101010102,5.697093486505405,297,1,0.003367003367003367
2024-06-30,high,379,0.0,0.0,5.940171252720432,379,2,0.005277044854881266
2024-06-30,low,62,0.0,0.0,4.143134726391533,62,1,0.016129032258064516
2024-06-30,mid,304,4.0,0.013157894736842105,5.720311776607412,304,2,0.006578947368421052
2024-07-07,high,380,4.0,0.010526315789473684,5.942799375126701,380,3,0.007894736842105263
2024-07-07,low,61,0.0,0.0,4.127134385045092,61,0,0.0
2024-07-07,mid,304,3.0,0.009868421052631578,5.720311776607412,304,3,0.009868421052631578
2024-07-14,high,380,2.0,0.005263157894736842,5.942799375126701,380,3,0.007894736842105263
2024-07-14,low,59,0.0,0.0,4.0943445622221,59,2,0.03389830508474576
2024-07-14,mid,308,5.0,0.016233766233766232,5.733341276897746,308,5,0.016233766233766232
2024-07-21,high,379,0.0,0.0,5.940171252720432,379,4,0.010554089709762533
2024-07-21,low,60,0.0,0.0,4.110873864173311,60,1,0.016666666666666666
2024-07-21,mid,308,4.0,0.012987012987012988,5.733341276897746,308,4,0.012987012987012988
2024-07-28,high,384,2.0,0.005208333333333333,5.953243334287785,384,1,0.0026041666666666665
2024-07-28,low,60,1.0,0.016666666666666666,4.110873864173311,60,1,0.016666666666666666
2024-07-28,mid,308,2.0,0.006493506493506494,5.733341276897746,308,4,0.012987012987012988
2024-08-04,high,367,2.0,0.005449591280653951,5.908082938168931,367,0,0.0
2024-08-04,low,57,0.0,0.0,4.060443010546419,57,0,0.0
2024-08-04,mid,305,8.0,0.02622950819672131,5.723585101952381,305,4,0.013114754098360656
2024-08-11,high,365,3.0,0.00821917808219178,5.902633333401366,365,0,0.0
2024-08-11,low,57,1.0,0.017543859649122806,4.060443010546419,57,0,0.0
2024-08-11,mid,316,4.0,0.012658227848101266,5.75890177387728,316,0,0.0
2024-08-18,high,357,2.0,0.0056022408963585435,5.8805329864007,357,0,0.0
2024-08-18,low,55,0.0,0.0,4.02535169073515,55,0,0.0
2024-08-18,mid,307,4.0,0.013029315960912053,5.730099782973574,307,1,0.003257328990228013
2024-08-25,high,358,3.0,0.008379888268156424,5.883322388488279,358,0,0.0
2024-08-25,low,54,0.0,0.0,4.007333185232471,54,1,0.018518518518518517
2024-08-25,mid,304,3.0,0.009868421052631578,5.720311776607412,304,2,0.006578947368421052
2024-09-01,high,363,14.0,0.03856749311294766,5.8971538676367405,363,1,0.0027548209366391185
2024-09-01,low,54,0.0,0.0,4.007333185232471,54,0,0.0
2024-09-01,mid,308,7.0,0.022727272727272728,5.733341276897746,308,1,0.003246753246753247
2024-09-08,high,362,4.0,0.011049723756906077,5.8944028342648505,362,2,0.0055248618784530384
2024-09-08,low,50,0.0,0.0,3.9318256327243257,50,0,0.0
2024-09-08,mid,309,3.0,0.009708737864077669,5.736572297479192,309,0,0.0
2024-09-15,high,359,5.0,0.013927576601671309,5.886104031450156,359,0,0.0
2024-09-15,low,51,0.0,0.0,3.9512437185814275,51,1,0.0196078431372549
2024-09-15,mid,314,4.0,0.012738853503184714,5.752572638825633,314,1,0.0031847133757961785
2024-09-22,high,355,1.0,0.0028169014084507044,5.87493073085203,355,1,0.0028169014084507044
2024-09-22,low,52,1.0,0.019230769230769232,3.970291913552122,52,0,0.0
2024-09-22,mid,319,4.0,0.012539184952978056,5.768320995793772,319,1,0.003134796238244514
2024-09-29,high,350,1.0,0.002857142857142857,5.860786223465865,350,0,0.0
2024-09-29,low,52,0.0,0.0,3.970291913552122,52,0,0.0
2024-09-29,mid,316,1.0,0.0031645569620253164,5.75890177387728,316,1,0.0031645569620253164
2024-10-06,high,357,5.0,0.014005602240896359,5.8805329864007,357,2,0.0056022408963585435
2024-10-06,low,49,0.0,0.0,3.912023005428146,49,1,0.02040816326530612
2024-10-06,mid,318,4.0,0.012578616352201259,5.765191102784844,318,1,0.0031446540880503146
2024-10-13,high,348,0.0,0.0,5.855071922202427,348,1,0.0028735632183908046
2024-10-13,low,48,0.0,0.0,3.8918202981106265,48,1,0.020833333333333332
2024-10-13,mid,317,2.0,0.006309148264984227,5.762051382780177,317,2,0.006309148264984227
2024-10-20,high,344,2.0,0.005813953488372093,5.84354441703136,344,3,0.00872093023255814
2024-10-20,low,45,0.0,0.0,3.828641396489095,45,1,0.022222222222222223
2024-10-20,mid,316,3.0,0.00949367088607595,5.75890177387728,316,1,0.0031645569620253164
2024-10-27,high,345,0.0,0.0,5.846438775057725,345,0,0.0
2024-10-27,low,45,0.0,0.0,3.828641396489095,45,0,0.0
2024-10-27,mid,318,4.0,0.012578616352201259,5.765191102784844,318,2,0.006289308176100629
2024-11-03,high,348,6.0,0.017241379310344827,5.855071922202427,348,1,0.0028735632183908046
2024-11-03,low,44,0.0,0.0,3.8066624897703196,44,0,0.0
2024-11-03,mid,324,9.0,0.027777777777777776,5.783825182329737,324,1,0.0030864197530864196
2024-11-10,high,348,5.0,0.014367816091954023,5.855071922202427,348,0,0.0
2024-11-10,low,41,0.0,0.0,3.7376696182833684,41,1,0.024390243902439025
2024-11-10,mid,322,0.0,0.0,5.777652323222656,322,2,0.006211180124223602
2024-11-17,high,350,2.0,0.005714285714285714,5.860786223465865,350,0,0.0
2024-11-17,low,42,1.0,0.023809523809523808,3.7612001156935624,42,0,0.0
2024-11-17,mid,324,4.0,0.012345679012345678,5.783825182329737,324,1,0.0030864197530864196
2024-11-24,high,352,4.0,0.011363636363636364,5.8664680569332965,352,2,0.005681818181818182
2024-11-24,low,42,2.0,0.047619047619047616,3.7612001156935624,42,0,0.0
2024-11-24,mid,323,7.0,0.021671826625386997,5.780743515792329,323,1,0.0030959752321981426
2024-12-01,high,360,5.0,0.013888888888888888,5.8888779583328805,360,0,0.0
2024-12-01,low,45,2.0,0.044444444444444446,3.828641396489095,45,1,0.022222222222222223
