date,group,gpu_ret,btc_krw_ret_l0,time_regime,btc_vol_regime
2025-03-30,mid,0.0004677101412376,0.0164440130822178,early,low_btc_vol
2025-03-30,low,0.0085088943056605,0.0164440130822178,early,low_btc_vol
2025-04-06,mid,-0.0021392707898931,-0.0359751097917282,late,low_btc_vol
2025-04-06,low,0.0010752607533219,-0.0359751097917282,late,low_btc_vol
2025-04-06,high,-0.0108525558666681,-0.0359751097917282,late,low_btc_vol
2025-04-13,low,-0.0067972444115537,-0.0274894381207495,late,low_btc_vol
2025-04-13,high,-0.0071729243734397,-0.0274894381207495,late,low_btc_vol
2025-04-13,mid,0.0017454496472481,-0.0274894381207495,late,low_btc_vol
2025-04-20,low,0.0107833837996884,0.0197854212178967,late,low_btc_vol
2025-04-20,high,-0.011551798199578,0.0197854212178967,late,low_btc_vol
2025-04-20,mid,-0.0012350585274019,0.0197854212178967,late,low_btc_vol
2025-04-27,high,-0.0038594622364792,0.1050409413770196,late,high_btc_vol
2025-04-27,mid,-0.0012253839496796,0.1050409413770196,late,high_btc_vol
2025-04-27,low,0.0007072639081779,0.1050409413770196,late,high_btc_vol
2025-05-04,mid,-0.0036048320776957,0.0137679229098601,late,high_btc_vol
2025-05-04,low,-0.007406123822273,0.0137679229098601,late,high_btc_vol
2025-05-04,high,-0.0074032230657679,0.0137679229098601,late,high_btc_vol
2025-05-11,mid,-0.0051436059850491,0.0336588283818208,late,high_btc_vol
2025-05-11,low,0.005536306343044,0.0336588283818208,late,high_btc_vol
2025-05-11,high,-0.0071004991820975,0.0336588283818208,late,high_btc_vol
2025-05-18,mid,-0.0030144776434369,0.0436888910885038,late,high_btc_vol
2025-05-18,high,-0.0102553867205142,0.0436888910885038,late,high_btc_vol
2025-05-18,low,-0.0015300183204682,0.0436888910885038,late,high_btc_vol
2025-05-25,high,-0.0037548820693619,0.0203618825011595,late,low_btc_vol
2025-05-25,mid,-0.0020237080538708,0.0203618825011595,late,low_btc_vol
2025-05-25,low,0.0024823209540382,0.0203618825011595,late,low_btc_vol
2025-06-01,high,-0.0078052928204413,-0.0153010938519457,late,low_btc_vol
2025-06-01,mid,-0.0080301425472147,-0.0153010938519457,late,low_btc_vol
2025-06-01,low,0.0003103773497704,-0.0153010938519457,late,low_btc_vol
2025-06-08,mid,-0.0063870897016936,-0.0261309421581614,late,low_btc_vol
2025-06-08,low,0.0003373743513072,-0.0261309421581614,late,low_btc_vol
2025-06-08,high,-0.0041265525388372,-0.0261309421581614,late,low_btc_vol
2025-06-15,low,-0.0042940255031747,0.0238044773816206,late,low_btc_vol
2025-06-15,high,-0.0037072258947316,0.0238044773816206,late,low_btc_vol
2025-06-15,mid,-0.0038285279858197,0.0238044773816206,late,low_btc_vol
2025-06-22,low,-0.0003547469950295,-0.0263153788466325,late,low_btc_vol
2025-06-22,high,-0.0060264753461947,-0.0263153788466325,late,low_btc_vol
2025-06-22,mid,-0.0061231941183733,-0.0263153788466325,late,low_btc_vol
2025-07-20,high,-0.0008226386094115,0.0472094144153949,late,low_btc_vol
2025-07-20,mid,-0.0008601997146734,0.0472094144153949,late,low_btc_vol
2025-07-20,low,-0.0061351587619228,0.0472094144153949,late,low_btc_vol
2025-07-27,mid,-0.0055257360990913,-0.0054272587653976,late,low_btc_vol
2025-07-27,low,0.0007995973082795,-0.0054272587653976,late,low_btc_vol
2025-07-27,high,-0.0081382283585458,-0.0054272587653976,late,low_btc_vol
2025-08-03,mid,-0.002482096540057,-0.0172198949752946,late,low_btc_vol
2025-08-03,low,-0.0008446270384934,-0.0172198949752946,late,low_btc_vol
2025-08-03,high,-0.0019721952317112,-0.0172198949752946,late,low_btc_vol
2025-08-10,low,-0.0067719780662666,0.0033958111333447,late,low_btc_vol
2025-08-10,high,-0.0040308756013876,0.0033958111333447,late,low_btc_vol
2025-08-10,mid,-0.0043706648045014,0.0033958111333447,late,low_btc_vol
2025-08-17,high,0.0001173432789996,0.022744695735323,late,low_btc_vol
2025-08-17,mid,0.001124693692338,0.022744695735323,late,low_btc_vol
