date,group,gpu_ret,btc_krw_ret_l0,gpu_ret_sq,btc_ret_abs,gpu_roll_std_12w,gpu_roll_std_24w
2025-08-31,high,-0.0028206073852226,-0.038492375794501,7.955826021572273e-06,0.038492375794501,0.0025776442020528085,0.006282954496367525
2025-09-07,high,-0.0017586975931657,0.0050728600367051,3.093017224206826e-06,0.0050728600367051,0.002639397588081867,0.005769048853058605
2025-09-14,high,-0.0010886379496746,0.03239089067781,1.185132585471717e-06,0.03239089067781,0.002354365909732505,0.0057141264524024375
2025-09-21,high,-5.618341206526994e-05,0.0141465433649408,3.15657579129592e-09,0.0141465433649408,0.002468020262972924,0.004920836616614912
2025-09-28,high,-0.000599564032589,-0.0322120044107876,3.5947702917438345e-07,0.0322120044107876,0.002511083355479476,0.0040263902409824895
2025-10-05,high,-0.0013062355358254,0.0716441604951256,1.70625127505307e-06,0.0716441604951256,0.002247851010472293,0.003553988536078374
2025-10-12,high,-0.0010261418913521,0.0055570409023602,1.0529671811876648e-06,0.0055570409023602,0.0022388280440940977,0.003349127193231295
2025-10-19,high,0.0050103867127941,-0.0755263303703337,2.510397501174367e-05,0.0755263303703337,0.0021930915609742734,0.0037582220759034193
2025-10-26,high,0.0011086992823998,0.0134425332865646,1.2292140987938316e-06,0.0134425332865646,0.0022399905350223063,0.0034666695017591476
2025-11-02,high,0.0025334295485411,-0.001811716167456,6.418265277421161e-06,0.001811716167456,0.0021453600610931156,0.0036424715124931412
2025-11-09,high,0.0078451242449248,-0.0563115455769072,6.15459744183069e-05,0.0563115455769072,0.003150102592002383,0.004101573521638426
2025-11-16,high,0.0050485413868575,-0.0345212217962505,2.548777013481305e-05,0.0345212217962505,0.003320662241323969,0.004211327633170012
2025-11-23,high,-0.0057063291718762,-0.1071778177182594,3.256219261780532e-05,0.1071778177182594,0.003710020082943879,0.003897198368057096
2025-11-30,high,-0.001052620802921,0.0171511784751103,1.1080105547420508e-06,0.0171511784751103,0.003670557001144079,0.003866536050074789
2025-12-07,high,-0.0002833823404221,0.0064348011781767,8.030555086310697e-08,0.0064348011781767,0.003638263423719802,0.003615946401842696
2025-12-14,high,-0.000762644367272,0.0071725055032452,5.816264309317092e-07,0.0071725055032452,0.0036618344753149125,0.0035550152645477907
2025-12-21,high,0.0005229647065171,-0.0397561868882512,2.7349208426251657e-07,0.0397561868882512,0.0036342571254701105,0.0035134108200588036
2025-12-28,high,0.0033849059455572,-0.0090119081009447,1.1457588260268482e-05,0.0090119081009447,0.0036165598393960814,0.0034174944345155044
2026-01-04,high,0.0028868745849248,0.007358043232049,8.334044869084737e-06,0.007358043232049,0.003555261018839288,0.003476785032285487
2026-01-11,high,0.0081698811352432,0.0355168662132534,6.674695776400272e-05,0.0355168662132534,0.00392006419160541,0.0034427453619015396
2026-01-18,high,0.0388727591079962,0.0458962692496243,0.0015110914006683017,0.0458962692496243,0.011325414205529608,0.008515154915066572
2026-01-25,high,0.0505677162532321,-0.0668182954928369,0.002557093927067394,0.0668182954928369,0.01726080454052267,0.012923711273433875
2026-02-01,high,0.047135542357873,-0.0704483743410051,0.0022217593533708393,0.0704483743410051,0.020431366862252685,0.015531348691849144
2026-02-08,high,0.0119833701891408,-0.1538003768060711,0.00014360116108998842,0.1538003768060711,0.02030223566833343,0.015471274240674356
2026-02-15,high,0.003418431978599,-0.049875634380438,1.1685677192308274e-05,0.049875634380438,0.01970084688092966,0.015350587302631306
2026-02-22,high,-0.003393069804806,-0.0144671433327907,1.1512922700286227e-05,0.0144671433327907,0.019871420547832083,0.015396011238898492
2026-03-01,high,0.0004329870962442,-0.0272142344734547,1.8747782551398413e-07,0.0272142344734547,0.0198271375899868,0.015363418899580272
2026-03-08,high,-0.0089799328280045,0.0668538830049527,8.063919359547289e-05,0.0668538830049527,0.02049886264915246,0.015653942391307473
2026-03-15,high,-0.009132771400727,0.0313233387449294,8.340751345793701e-05,0.0313233387449294,0.021206871559807612,0.01592643254651221
2026-03-22,high,-0.0024728916422866,0.0143440464751876,6.115193074490917e-06,0.0143440464751876,0.021491532067125018,0.015953222230821705
2026-03-29,high,-0.0006108971600333,-0.0316186735962418,3.731953401367513e-07,0.0316186735962418,0.02164398256394928,0.015944922705522578
2024-05-05,low,-0.0005381291617149,-0.0513084427149692,2.8958299468798095e-07,0.0513084427149692,,
2024-05-12,low,0.0018499775499492,-0.0013754683318119,3.4224169353160447e-06,0.0013754683318119,,
2024-05-19,low,-0.0001418185282267,0.0461135501063978,2.0112494948387305e-08,0.0461135501063978,,
2024-05-26,low,-0.0006364510748798,0.0686495804135489,4.0506997071565275e-07,0.0686495804135489,,
2024-06-02,low,-0.0011941768019945,-0.010917812308282,1.4260582344218113e-06,0.010917812308282,,
2024-06-09,low,-0.0021389913377435,0.0266188741577551,4.575283942941728e-06,0.0266188741577551,,
2024-06-16,low,-8.590953235940383e-05,-0.0362491072510273,7.380447750211453e-09,0.0362491072510273,,
2024-06-23,low,0.0038461543290208,-0.0330116898989452,1.479290312264544e-05,0.0330116898989452,0.0018831376090994835,
2024-06-30,low,0.0004016268866228,-0.0555696556243319,1.6130415605832344e-07,0.0555696556243319,0.0017640121470369155,
2024-07-07,low,-0.002408854835338,-0.0410669813095161,5.802581617731263e-06,0.0410669813095161,0.001849719573822726,
2024-07-14,low,0.0018120687831508,-0.0142703479999255,3.2835932748696214e-06,0.0142703479999255,0.0018475122697676856,
2024-07-21,low,0.0051470434739054,0.1265158981861844,2.6492056522272167e-05,0.1265158981861844,0.002291588701052268,
2024-07-28,low,0.0012216167534931,0.0176335745640834,1.4923474924150214e-06,0.0176335745640834,0.0022758770058010033,
2024-08-04,low,0.002647456449715,-0.0687766374006173,7.009025653137552e-06,0.0687766374006173,0.0023255427704121758,
2024-08-11,low,-0.0007609582579282,-0.0836901213506138,5.79057470309121e-07,0.0836901213506138,0.0023527669599483748,
2024-08-18,low,0.0002803409119578,0.006822322947773,7.859102691733096e-08,0.006822322947773,0.002321726430844706,0.0020725279716860396
2024-08-25,low,0.0032615615836461,0.0251732607552135,1.0637783963916054e-05,0.0251732607552135,0.0023421226299845765,0.002109380044894911
2024-09-01,low,-0.0024722160546795,-0.0356453117592288,6.111852221015071e-06,0.0356453117592288,0.002385612518322721,0.002181885497723839
2024-09-08,low,0.0019959026743786,-0.0537272286200334,3.983627485591648e-06,0.0537272286200334,0.002369221213095975,0.0021458273544915614
2024-09-15,low,0.0006507208244209,0.0399645800118513,4.234375913350157e-07,0.0399645800118513,0.002225849588375736,0.0020885975301097328
2024-09-22,low,0.0059786377276984,0.048899243263051,3.574410907905869e-05,0.048899243263051,0.002637892645720636,0.0023458311136819437
2024-09-29,low,-0.0026576833256892,0.0397115795300244,7.0632806596464064e-06,0.0397115795300244,0.002671711400083925,0.002411092366209343
2024-10-06,low,-0.0008494807394811,-0.0357942264543424,7.216175267493564e-07,0.0357942264543424,0.0027461307022594787,0.002378566223672658
2024-10-13,low,-0.002211430498814,0.0116335308128299,4.890424851084737e-06,0.0116335308128299,0.0026033663706835648,0.002399049388247619
2024-10-20,low,0.0030246318468902,0.1034553031643703,9.148397809222424e-06,0.1034553031643703,0.002693576966536267,0.002439228607511836
2024-10-27,low,-0.0022934177775798,0.0050535153150264,5.259765102519068e-06,0.0050535153150264,0.0027525850322949056,0.0024994439783183617
2024-11-03,low,-0.0040111173694038,0.0432470721497075,1.608906255113286e-05,0.0432470721497075,0.003016794350331919,0.00266323404444745
2024-11-10,low,0.0030989176148647,0.0646987969477272,9.603290383718721e-06,0.0646987969477272,0.003142769936527511,0.002711417605570058
2024-11-17,low,0.000151655559204,0.1897681283424255,2.299940863747795e-08,0.1897681283424255,0.0030007300291456304,0.002688421450518249
2024-11-24,low,0.0046705663719001,0.0677434983068003,2.1814190234324067e-05,0.0677434983068003,0.003162516731159214,0.0027489784919563637
2024-12-01,low,0.0011881655420953,-0.0071312245327597,1.411737355422618e-06,0.0071312245327597,0.003139289047993953,0.002742381379414501
2024-12-08,low,-0.0006592110595565,0.0462672790698128,4.345592210416033e-07,0.0462672790698128,0.003158626679509814,0.002685894278934624
2024-12-15,low,0.0116343971233989,0.0307560313734285,0.0001353591964249526,0.0307560313734285,0.004280791320188039,0.003487597979509698
2024-12-22,low,0.000360373422632,0.0038157699591856,1.298690037395021e-07,0.0038157699591856,0.004137501342166144,0.0034084400433177725
2024-12-29,low,0.0020063660292923,-0.0267282623878237,4.025504643498149e-06,0.0267282623878237,0.0040923338012918775,0.00340993872453483
2025-01-05,low,0.0017312945846965,0.0050274225344075,2.9973809389994264e-06,0.0050274225344075,0.003929908468279901,0.0033126539863609764
2025-01-12,low,0.0058796483008652,-0.0068580297478497,3.457026414186704e-05,0.0068580297478497,0.004097475620972773,0.0034496672379976602
2025-01-19,low,0.0022679401261212,0.0414024115023998,5.1435524156706435e-06,0.0414024115023998,0.0038702964927227923,0.0034443757874166
2025-01-26,low,0.0088656996252175,0.0203205768237566,7.860062984458172e-05,0.0203205768237566,0.003725691983348823,0.0037366674270862556
