date,group,gpu_ret,fitted,resid,std_resid,abs_std_resid
2025-03-09,high,7.998753079277999e-05,0.001792691164835242,-0.0017127036340424619,-0.22908400886325198,0.22908400886325198
2025-03-16,high,-0.0215472801623906,-0.002349615805087712,-0.01919766435730289,-2.5677985521650837,2.5677985521650837
2025-03-23,high,-0.0198428348129184,-0.012550044654384853,-0.007292790158533546,-0.9754528291459887,0.9754528291459887
2025-03-30,high,-0.0144749384742874,-0.015192038115367406,0.0007170996410800056,0.09591622115337557,0.09591622115337557
2025-04-06,high,-0.0108525558666681,-0.00974498317076057,-0.0011075726959075306,-0.1481442488021755,0.1481442488021755
2025-04-13,high,-0.0071729243734397,-0.006258912485800291,-0.0009140118876394092,-0.12225437209757968,0.12225437209757968
2025-04-20,high,-0.011551798199578,-0.007969100792645128,-0.003582697406932872,-0.4792064827859248,0.4792064827859248
2025-04-27,high,-0.0038594622364792,-0.006958739814414609,0.003099277577935409,0.4145462869472903,0.4145462869472903
2025-05-04,high,-0.0074032230657679,-0.0006537022999167087,-0.006749520765851192,-0.9027874082905248,0.9027874082905248
2025-05-11,high,-0.0071004991820975,-0.002560867108986751,-0.004539632073110748,-0.6072020245661618,0.6072020245661618
2025-05-18,high,-0.0102553867205142,-0.0020636585842674286,-0.008191728136246771,-1.095690978677973,1.095690978677973
