date,cat,ret
2025-04-13,CPU,-0.0065552315716644
2025-04-20,CPU,0.0040574672377497
2025-04-27,CPU,-0.0108104025483668
2025-05-04,CPU,-0.0102011503601028
2025-05-11,CPU,0.0037961117775164
2025-05-18,CPU,-0.0033832824737128
2025-05-25,CPU,0.0053377508454997
2025-06-01,CPU,-0.0078431220351211
2025-06-08,CPU,0.0021495923039961
2025-06-15,CPU,-0.0004283439080503
2025-06-22,CPU,0.0005061199882653
2025-07-20,CPU,-0.0004021016567392
2025-07-27,CPU,-0.0011554420168274
2025-08-03,CPU,0.0059487708281192
2025-08-10,CPU,-0.0028889125120633
2025-08-17,CPU,0.0002187393438674
2025-08-24,CPU,-0.0002500905964885
2025-08-31,CPU,-0.0039610148709063
2025-09-07,CPU,-0.0004947206300789
2025-09-14,CPU,0.0058108996112957
2025-09-21,CPU,-0.0030774549139781
2025-09-28,CPU,-0.0049420859476075
2025-10-05,CPU,0.008551205899152
2025-10-12,CPU,0.0001919844131746
2025-10-19,CPU,0.0010841086180463
2025-10-26,CPU,0.0023883462404974
2025-11-02,CPU,0.0046852097730056
2025-11-09,CPU,0.0123013432484525
2025-11-16,CPU,0.0037750877789406
2025-11-23,CPU,0.0039720607318211
2025-11-30,CPU,0.0011251954247449
2025-12-07,CPU,0.0001418450383115
2025-12-14,CPU,0.0041203701230112
2025-12-21,CPU,0.0043193656463227
2025-12-28,CPU,0.0049502780467165
2026-01-04,CPU,0.0050531657211287
2026-01-11,CPU,0.0046242471402616
2026-01-18,CPU,0.0051828653296926
2026-01-25,CPU,0.0042438604490206
2026-02-01,CPU,0.0028615032196792
2026-02-08,CPU,0.0039492297614951
2026-02-15,CPU,0.001227827909095
2026-02-22,CPU,0.0002555453665396
2026-03-01,CPU,0.0011766899796477
2026-03-08,CPU,-0.0008957137595119
2026-03-15,CPU,0.0004167269992079
2026-03-22,CPU,-0.0002660561764946
2026-03-29,CPU,4.981923970071915e-05
2024-03-10,GPU,0.0021887343214245
2024-03-17,GPU,0.003091853496721
2024-03-24,GPU,0.0020496207331638
2024-03-31,GPU,0.0010933686827927
2024-04-07,GPU,-0.0001153440516104
2024-04-14,GPU,0.0002916726195209
2024-04-21,GPU,0.0024268508891515
2024-04-28,GPU,-0.0009344710930582
2024-05-05,GPU,-0.0006387161801975
2024-05-12,GPU,0.0006126049351804
2024-05-19,GPU,-0.0010798173335266
2024-05-26,GPU,-0.0014252757375653
2024-06-02,GPU,-0.0015981074351824
2024-06-09,GPU,-0.0020377322181679
2024-06-16,GPU,-0.0003430156027606
2024-06-23,GPU,0.0014922901342778
2024-06-30,GPU,0.0002550683627858
2024-07-07,GPU,-0.0024695757373349
2024-07-14,GPU,0.0006238310994871
2024-07-21,GPU,0.0003341364029832
2024-07-28,GPU,0.002546982257458
2024-08-04,GPU,0.0021483515563459
2024-08-11,GPU,0.0003600475255901
2024-08-18,GPU,0.0003314146124717
2024-08-25,GPU,0.0013690625067079
2024-09-01,GPU,-0.0037445417812658
2024-09-08,GPU,-0.0005201590059351
2024-09-15,GPU,0.0008792655551979
2024-09-22,GPU,0.00222148312076
2024-09-29,GPU,-1.842393697321792e-05
2024-10-06,GPU,-0.0011162359715805
2024-10-13,GPU,-0.0006649143910723
2024-10-20,GPU,-0.0002683651559029
2024-10-27,GPU,-0.0004713226736937
2024-11-03,GPU,-0.0010088848228184
2024-11-10,GPU,0.000701760281986
2024-11-17,GPU,-0.0001507335984274
2024-11-24,GPU,0.003882949400398
2024-12-01,GPU,0.0015641566684912
2024-12-08,GPU,0.0004002235174707
2024-12-15,GPU,0.0065614065279774
2024-12-22,GPU,0.0049101251975782
2024-12-29,GPU,0.0032848718252147
2025-01-05,GPU,0.0062235048634052
2025-01-12,GPU,0.0143923698487862
2025-01-19,GPU,0.0031435754681973
2025-01-26,GPU,0.0048167891131284
2025-02-02,GPU,-0.0018015039676933
2025-02-09,GPU,0.0082839848071901
2025-02-16,GPU,0.0134440595695642
2025-02-23,GPU,0.0062311388894191
2025-03-02,GPU,0.0049706103431083
2025-03-09,GPU,0.002176969251147
2025-03-16,GPU,-0.0068990217167367
2025-03-23,GPU,-0.0071704500308572
2025-03-30,GPU,-0.0048270820339037
2025-04-06,GPU,-0.0053854799725262
2025-04-13,GPU,-0.0024804948533599
2025-04-20,GPU,-0.0054135252493549
2025-04-27,GPU,-0.0022264476968281
2025-05-04,GPU,-0.0053462800946931
2025-05-11,GPU,-0.0055194324887767
2025-05-18,GPU,-0.0059239799437151
2025-05-25,GPU,-0.0025309945292353
2025-06-01,GPU,-0.0077171445600563
2025-06-08,GPU,-0.0053133153242719
2025-06-15,GPU,-0.0038372718501978
2025-06-22,GPU,-0.0059030993269302
2025-07-20,GPU,-0.0010773030291428
2025-07-27,GPU,-0.0061411295405854
2025-08-03,GPU,-0.0022407593890201
2025-08-10,GPU,-0.0044295719276501
2025-08-17,GPU,0.0007526303883068
2025-08-24,GPU,-0.0020857821606559
2025-08-31,GPU,-0.0038367970136984
2025-09-07,GPU,-0.0017175809401186
2025-09-14,GPU,-0.00110595469092
2025-09-21,GPU,-0.000590324582589
2025-09-28,GPU,-0.0010218429999708
2025-10-05,GPU,-0.0026937063237255
2025-10-12,GPU,-0.001363887671541
2025-10-19,GPU,0.0052167453415838
2025-10-26,GPU,-0.0009011122464342
2025-11-02,GPU,-0.0020940157829115
2025-11-09,GPU,0.005944401116157
2025-11-16,GPU,0.0044040546796509
2025-11-23,GPU,-0.0003148857700413
2025-11-30,GPU,0.0003457568154412
2025-12-07,GPU,0.0003569740756914
2025-12-14,GPU,0.0002847352655457
2025-12-21,GPU,0.0024898716504068
2025-12-28,GPU,0.0033494612811788
2026-01-04,GPU,0.0031989968482495
2026-01-11,GPU,0.0060046933341073
2026-01-18,GPU,0.0274218601954075
2026-01-25,GPU,0.0491841258833126
2026-02-01,GPU,0.0628049805376508
2026-02-08,GPU,0.0127284614552869
2026-02-15,GPU,0.0021888508499061
2026-02-22,GPU,-0.003938242479267
2026-03-01,GPU,0.0028014537616226
2026-03-08,GPU,-0.0090287069479208
2026-03-15,GPU,-0.0072649938239163
2026-03-22,GPU,-0.0046155929939253
2026-03-29,GPU,-0.0078109861573642
2024-03-10,RAM,0.0028963188092834
2024-03-17,RAM,0.0014727700884034
2024-03-24,RAM,-0.0030157434105882
2024-03-31,RAM,-0.0015083835246113
2024-04-07,RAM,-0.0051279521639672
2024-04-14,RAM,0.0035704723332439
2024-04-21,RAM,0.0031641766240276
2024-04-28,RAM,0.0003316461810689
2024-05-05,RAM,-0.0011429578184124
2024-05-12,RAM,-0.0011858774380771
2024-05-19,RAM,0.0009069957027287
2024-05-26,RAM,-0.00188032889608
2024-06-02,RAM,-0.0023531025389362
2024-06-09,RAM,-0.0024960982326714
2024-06-16,RAM,-0.000840704575507
2024-06-23,RAM,0.0008841555017543
2024-06-30,RAM,5.5016553834403045e-05
2024-07-07,RAM,-0.0017687258990757
2024-07-14,RAM,0.0005413374163337
2024-07-21,RAM,-0.0013331763040821
2024-07-28,RAM,7.020137984481881e-05
2024-08-04,RAM,-5.457091387664623e-05
2024-08-11,RAM,-0.0014844339205509
2024-08-18,RAM,0.0002414933490385
2024-08-25,RAM,-0.0006515598078883
2024-09-01,RAM,-0.0021184540235154
2024-09-08,RAM,-0.0023315891922053
2024-09-15,RAM,-0.0031827776255325
2024-09-22,RAM,0.0007933156278352
2024-09-29,RAM,-0.0008661340856718
2024-10-06,RAM,-0.0039522500569251
2024-10-13,RAM,-0.0024043355047352
2024-10-20,RAM,-0.004597496164059
2024-10-27,RAM,-0.0090453329065811
2024-11-03,RAM,-0.0035489380466445
2024-11-10,RAM,-0.0005983745690006
2024-11-17,RAM,0.0009180725589482
2024-11-24,RAM,0.0011786010056281
2024-12-01,RAM,-6.454463677200657e-05
2024-12-08,RAM,-0.0007547658861126
2024-12-15,RAM,-0.0003288183950725
2024-12-22,RAM,-0.0007047281718667
2024-12-29,RAM,0.0008143114586613
2025-01-05,RAM,0.0005740149971923
2025-01-12,RAM,0.002856283597247
2025-01-19,RAM,0.0010432435881712
2025-01-26,RAM,0.0021810252077579
2025-02-02,RAM,-0.0067262015941708
2025-02-09,RAM,0.0020289918499013
2025-02-16,RAM,0.0017050735242793
2025-02-23,RAM,-0.0003172724760378
2025-03-02,RAM,0.0016779447564465
2025-03-09,RAM,-0.005428682522524
2025-03-16,RAM,0.0006540630527124
2025-03-23,RAM,0.0049633332021503
2025-03-30,RAM,0.0063641855998635
2025-04-06,RAM,0.0012197404254027
2025-04-13,RAM,0.0004878205051008
2025-04-20,RAM,0.0078219437899619
2025-04-27,RAM,-0.0001854003295579
2025-05-04,RAM,-0.0011539193612034
2025-05-11,RAM,-0.0004316881100637
2025-05-18,RAM,-0.0007178035476498
2025-05-25,RAM,0.002735418540689
2025-06-01,RAM,-0.0005413270678841
2025-06-08,RAM,-0.0002178170964836
2025-06-15,RAM,0.0001793596881484
2025-06-22,RAM,0.0038647434324774
2025-07-20,RAM,0.0007141601608025
2025-07-27,RAM,0.00248343726871
2025-08-03,RAM,0.0031725197452511
2025-08-10,RAM,-0.0014233393969688
2025-08-17,RAM,0.002232351695973
2025-08-24,RAM,0.0002951044194368
2025-08-31,RAM,-0.0001767809124768
2025-09-07,RAM,0.0015747181974416
2025-09-14,RAM,0.0012199288825931
2025-09-21,RAM,0.0035439891293299
2025-09-28,RAM,0.0157797648599734
2025-10-05,RAM,0.0365150507268129
2025-10-12,RAM,0.0066732034878138
2025-10-19,RAM,0.0574105724270351
2025-10-26,RAM,0.1048999976084113
2025-11-02,RAM,0.1500001914677821
2025-11-09,RAM,0.0409880919562347
2025-11-16,RAM,0.0964372458127221
2025-11-23,RAM,0.0305078412265612
2025-11-30,RAM,0.0108862067026223
2025-12-07,RAM,0.0107721286815297
2025-12-14,RAM,0.0160233005469738
2025-12-21,RAM,0.0576487562239618
2025-12-28,RAM,0.0982351064205371
2026-01-04,RAM,0.0374756400476502
2026-01-11,RAM,0.0247097310679842
2026-01-18,RAM,0.0479518635233666
2026-01-25,RAM,0.0237934023529718
2026-02-01,RAM,0.0033650892365146
2026-02-08,RAM,0.0015537539860174
2026-02-15,RAM,-0.004382674449906
2026-02-22,RAM,-0.0001949347247976
2026-03-01,RAM,-0.0067035364145765
2026-03-08,RAM,-0.0021045710321134
2026-03-15,RAM,-0.0024763339847882
2026-03-22,RAM,-0.0020273042238558
2026-03-29,RAM,-0.0004784288732693
