Id,Name,cpu_model,cpu_codename,sale_info,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
16100840,인텔 셀러론 G6900 (엘더레이크),인텔 셀러론 G6900,엘더레이크,"_정품_107,920|벌크 + 쿨러_108,520|벌크_98,650|_해외구매 | _정품_110,130|벌크 + 쿨러_108,520|벌크_98,650|_해외구매 | _정품_112,430|벌크 + 쿨러_112,810|벌크_102,580|_해외구매 | _정품_96,360|벌크 + 쿨러_94,480|벌크_82,650|_해외구매",85700,85700,86130,0,0,0,85700,85700,85700,85700,85700,85700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16209680,인텔 셀러론 G6900 (엘더레이크),인텔 셀러론 G6900,엘더레이크,"_벌크_131,000|_해외구매",0,0,0,86130,86130,86130,0,0,0,0,0,0,86130,86130,86130,86130,86130,86130,86130,86130,86130,86130,86130,94750,94750,94750,94750,94750
9652455,인텔 제온 E 2224 (커피레이크-R),인텔 제온 E 2224,커피레이크-R,"_정품_485,000|_벌크 + 쿨러_475,000|벌크 | 정품_485,000|_벌크 + 쿨러_475,000|_벌크",455000,455000,455000,455000,0,0,0,0,0,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000
18158378,인텔 제온 E3-1220V5 (스카이레이크),인텔 제온 E3-1220V5,스카이레이크,"_해외구매_15,200|_중고",53650,53620,53530,53500,53970,53860,53770,53650,53580,53580,53580,53580,53580,53690,53690,53690,53690,53690,53690,53690,53660,53640,53580,53540,53990,53990,53990,53960
5132410,인텔 제온 E3-1225V6 (카비레이크),인텔 제온 E3-1225V6,카비레이크,정품,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140,408140
13360262,인텔 제온 E3-1230V2 (아이비브릿지),인텔 제온 E3-1230V2,아이비브릿지,중고,0,0,0,0,0,0,0,0,0,36400,0,36400,36400,36400,0,36400,0,0,0,0,0,0,0,0,0,0,0,0
5132462,인텔 제온 E3-1230V6 (카비레이크),인텔 제온 E3-1230V6,카비레이크,정품,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380,411380
13059194,인텔 제온 E3-1231V3 (하스웰 리프레시),인텔 제온 E3-1231V3,하스웰 리프레시,중고,154300,154300,154300,154300,154300,0,0,0,154300,0,154300,0,154300,154300,154300,0,0,154300,154300,0,154300,154210,154210,154210,154210,154210,154210,154210
5132478,인텔 제온 E3-1240V6 (카비레이크),인텔 제온 E3-1240V6,카비레이크,정품,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000
5132511,인텔 제온 E3-1275V6 (카비레이크),인텔 제온 E3-1275V6,카비레이크,"_정품_736,000|_벌크_578,540|중고",986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986900,986320,986320,986320,986320,986320,986320,986320
